,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC
0,15  Hugo Keenan,80,0,0,0,0,0,122,13,0,151,81,9,0,3,0,6,0,100,16,0,0,1,0,0,0,0,0,0,0
1,14  Keith Earls,62,0,0,0,0,0,24,5,0,0,83,0,0,1,0,6,0,100,0,0,3,0,1,0,0,0,0,0,0
2,13  Garry Ringrose,80,0,0,0,0,0,113,14,0,0,96,11,1,5,0,4,2,66,0,1,1,1,0,0,0,0,0,0,0
3,12  Robbie Henshaw,70,0,0,0,0,0,99,19,0,0,100,11,1,4,0,6,0,100,0,0,0,0,1,0,0,0,0,0,0
4,11  James Lowe,80,0,0,0,0,0,155,15,0,234,80,6,0,2,0,1,2,33,0,0,2,0,0,0,0,0,0,0,0
5,10  Johnny Sexton,69,0,0,1,2,0,37,7,0,169,80,31,0,0,0,8,0,100,0,0,3,2,1,0,0,0,0,0,0
6,9  Conor Murray,72,0,0,0,0,0,13,5,0,284,91,112,0,0,0,4,2,66,0,0,1,3,1,0,0,0,0,0,0
7,1  Cian Healy,51,0,0,0,0,0,11,3,0,0,100,0,0,0,0,4,4,50,0,0,0,0,0,0,0,0,0,0,0
8,2  Rob Herring,72,0,0,0,0,0,24,6,0,0,100,5,0,0,0,9,2,81,0,0,0,0,1,0,0,0,0,0,0
9,3  Andrew Porter,54,0,0,0,0,0,43,7,0,0,100,1,0,1,0,3,2,60,0,0,0,0,0,0,0,0,0,0,0
10,4  Tadhg Beirne,80,1,0,0,0,0,85,21,0,0,100,8,1,1,0,10,1,90,0,1,1,0,3,0,0,4,0,0,0
11,5  James Ryan,24,0,0,0,0,0,25,7,0,0,100,4,0,0,0,7,0,100,0,2,0,0,0,0,0,1,2,0,0
12,6  Peter O'Mahony,14,0,0,0,0,0,0,0,0,0,100,1,0,0,0,4,0,100,0,0,0,0,2,0,0,0,0,0,1
13,7  Josh van der Flier,60,0,0,0,0,0,49,7,0,0,100,3,0,1,0,9,0,100,0,0,2,0,1,0,0,0,0,0,0
14,8  CJ Stander,80,0,0,0,0,0,84,18,0,0,100,7,0,2,0,10,0,100,0,1,0,1,0,0,0,0,1,0,0
15,Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16  Ronan Kelleher,8,0,0,0,0,0,25,4,0,0,100,0,0,2,0,1,0,100,100,0,0,0,0,0,0,0,0,0,0
17,17  Dave Kilcoyne,29,0,0,0,0,0,25,6,0,0,100,0,0,0,0,2,0,100,0,0,0,0,0,0,0,0,0,0,0
18,18  Tadhg Furlong,26,0,0,0,0,0,26,7,0,0,100,2,0,2,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0
19,19  Iain Henderson,56,0,0,0,0,0,32,10,0,0,100,3,0,0,0,4,2,66,0,2,0,0,0,0,0,2,0,0,0
20,20  Will Connors,20,0,0,0,0,0,11,3,0,0,100,2,0,0,0,4,0,100,50,0,0,0,0,0,0,0,0,0,0
21,21  Jamison Gibson-Park,8,0,0,0,0,0,12,4,0,27,96,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,22  Billy Burns,20,0,0,0,1,0,50,5,0,2,90,15,0,0,0,2,0,100,0,0,1,2,0,0,0,0,0,0,0
23,23  Jordan Larmour,18,0,0,0,0,0,14,3,0,0,100,4,0,2,0,1,0,100,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP - Minutes Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T - Tries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA - Try assists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C - Conversions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P - Penalty Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG - Drop Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M - Metres Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK(%) - Possession Kicked (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK - Metres Kicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH(%) - Ball played by hand (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM - Passes Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O - Offloads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTs - Broken Tackles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kon - Knock Ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM - Tackles made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT - Missed Tackles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS(%) - Tackle success (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT(%) - Dominant Tackles (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW - Turnovers won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC - Turnovers conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HE - Handling errors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC - Pens conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPC - Offside penalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC - Scrum penalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW - Lineouts Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS - Lineouts stolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YC - Yellow Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC - Red Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
